Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
1.0,Fri,2018-08-17,20:15,Girona,0.7,0–0,0.0,Valladolid,10368.0,Estadi Municipal de Montilivi,Guillermo Cuadra
1.0,Fri,2018-08-17,22:15,Betis,0.9,0–3,2.5,Levante,46225.0,Estadio Benito Villamarín,Ignacio Iglesias
1.0,Sat,2018-08-18,18:15,Celta Vigo,0.6,1–1,0.6,Espanyol,16215.0,Estadio de Balaídos,Santiago Jaime
1.0,Sat,2018-08-18,20:15,Villarreal,1.6,1–2,0.7,Real Sociedad,16250.0,Estadio de la Cerámica,Mario Melero
1.0,Sat,2018-08-18,22:15,Barcelona,3.2,3–0,0.3,Alavés,52356.0,Camp Nou,José Sánchez
1.0,Sun,2018-08-19,18:15,Eibar,1.3,1–2,1.7,Huesca,4234.0,Estadio Municipal de Ipurúa,Eduardo Prieto
1.0,Sun,2018-08-19,20:15,Rayo Vallecano,2.1,1–4,2.8,Sevilla,11626.0,Estadio del Rayo Vallecano,Antonio Matéu Lahoz
1.0,Sun,2018-08-19,22:15,Real Madrid,1.0,2–0,0.2,Getafe,48446.0,Estadio Santiago Bernabéu,Daniel Ask
1.0,Mon,2018-08-20,20:00,Valencia,1.1,1–1,0.9,Atlético Madrid,46174.0,Estadio de Mestalla,Jesús Gil
1.0,Mon,2018-08-20,22:00,Athletic Club,2.2,2–1,1.0,Leganés,38327.0,Estadio San Mamés,Adrián Cordero
2.0,Fri,2018-08-24,20:15,Getafe,1.4,2–0,0.6,Eibar,7851.0,Coliseum Alfonso Pérez,David Medié
2.0,Fri,2018-08-24,22:15,Leganés,1.7,2–2,1.6,Real Sociedad,9375.0,Estadio Municipal de Butarque,José Luis Munuera
2.0,Sat,2018-08-25,18:15,Alavés,0.6,0–0,0.9,Betis,18221.0,Estadio de Mendizorroza,Pablo González
2.0,Sat,2018-08-25,20:15,Atlético Madrid,0.9,1–0,1.5,Rayo Vallecano,52693.0,Estadio Wanda Metropolitano,José González
2.0,Sat,2018-08-25,22:15,Valladolid,0.4,0–1,1.0,Barcelona,22651.0,Estadio Municipal José Zorrilla,Ricardo de Burgos
2.0,Sun,2018-08-26,18:15,Espanyol,1.3,2–0,1.9,Valencia,18714.0,RCDE Stadium,Carlos del Cerro
2.0,Sun,2018-08-26,22:15,Girona,0.4,1–4,3.9,Real Madrid,13889.0,Estadi Municipal de Montilivi,Juan Martínez
2.0,Sun,2018-08-26,22:15,Sevilla,1.9,0–0,1.0,Villarreal,35831.0,Estadio Ramón Sánchez Pizjuán,Alberto Undiano
2.0,Mon,2018-08-27,20:15,Levante,1.9,1–2,2.5,Celta Vigo,21122.0,Estadio Ciudad de Valencia,Alejandro Hernández
