week,date,day,home,score,away,xG,xG_1,venue,referee
1,2018-08-17,Fri,Girona,0–0,Valladolid,0.7,0.0,Estadi Municipal de Montilivi,Guillermo Cuadra
1,2018-08-17,Fri,Betis,0–3,Levante,0.9,2.5,Estadio Benito Villamarín,Ignacio Iglesias
1,2018-08-18,Sat,Celta Vigo,1–1,Espanyol,0.6,0.6,Estadio de Balaídos,Santiago Jaime
1,2018-08-18,Sat,Villarreal,1–2,Real Sociedad,1.6,0.7,Estadio de la Cerámica,Mario Melero
1,2018-08-18,Sat,Barcelona,3–0,Alavés,3.2,0.3,Camp Nou,José Sánchez
1,2018-08-19,Sun,Eibar,1–2,Huesca,1.3,1.7,Estadio Municipal de Ipurúa,Eduardo Prieto
1,2018-08-19,Sun,Rayo Vallecano,1–4,Sevilla,2.1,2.8,Estadio del Rayo Vallecano,Antonio Matéu Lahoz
1,2018-08-19,Sun,Real Madrid,2–0,Getafe,1.0,0.2,Estadio Santiago Bernabéu,Daniel Ask
1,2018-08-20,Mon,Valencia,1–1,Atlético Madrid,1.1,0.9,Estadio de Mestalla,Jesús Gil
1,2018-08-20,Mon,Athletic Club,2–1,Leganés,2.2,1.0,Estadio San Mamés,Adrián Cordero
2,2018-08-24,Fri,Getafe,2–0,Eibar,1.4,0.6,Coliseum Alfonso Pérez,David Medié
2,2018-08-24,Fri,Leganés,2–2,Real Sociedad,1.7,1.6,Estadio Municipal de Butarque,José Luis Munuera
2,2018-08-25,Sat,Alavés,0–0,Betis,0.6,0.9,Estadio de Mendizorroza,Pablo González
2,2018-08-25,Sat,Atlético Madrid,1–0,Rayo Vallecano,0.9,1.5,Estadio Wanda Metropolitano,José González
2,2018-08-25,Sat,Valladolid,0–1,Barcelona,0.4,1.0,Estadio Municipal José Zorrilla,Ricardo de Burgos
2,2018-08-26,Sun,Espanyol,2–0,Valencia,1.3,1.9,RCDE Stadium,Carlos del Cerro
2,2018-08-26,Sun,Girona,1–4,Real Madrid,0.4,3.9,Estadi Municipal de Montilivi,Juan Martínez
2,2018-08-26,Sun,Sevilla,0–0,Villarreal,1.9,1.0,Estadio Ramón Sánchez Pizjuán,Alberto Undiano
2,2018-08-27,Mon,Levante,1–2,Celta Vigo,1.9,2.5,Estadio Ciudad de Valencia,Alejandro Hernández
2,2018-08-27,Mon,Athletic Club,2–2,Huesca,0.6,0.3,San Mamés,Hsu Jason
3,2018-08-31,Fri,Getafe,0–0,Valladolid,1.2,0.9,Coliseum Alfonso Pérez,Adrián Cordero
3,2018-08-31,Fri,Villarreal,0–1,Girona,1.1,1.0,Estadio de la Cerámica,Eduardo Prieto
3,2018-08-31,Fri,Eibar,2–1,Real Sociedad,1.0,1.3,Estadio Municipal de Ipurúa,José Sánchez
3,2018-09-01,Sat,Celta Vigo,2–0,Atlético Madrid,0.5,0.4,Estadio de Balaídos,Antonio Matéu Lahoz
3,2018-09-01,Sat,Real Madrid,4–1,Leganés,2.5,1.1,Estadio Santiago Bernabéu,Santiago Jaime
3,2018-09-02,Sun,Levante,2–2,Valencia,1.6,4.1,Estadio Ciudad de Valencia,Daniel Ask
3,2018-09-02,Sun,Alavés,2–1,Espanyol,1.4,1.2,Estadio de Mendizorroza,Ignacio Iglesias
3,2018-09-02,Sun,Barcelona,8–2,Huesca,5.3,1.7,Camp Nou,Mario Melero
3,2018-09-02,Sun,Betis,1–0,Sevilla,0.9,0.6,Estadio Benito Villamarín,Jesús Gil
4,2018-09-14,Fri,Huesca,0–1,Rayo Vallecano,1.7,1.2,Estadio El Alcoraz,David Medié
4,2018-09-15,Sat,Atlético Madrid,1–1,Eibar,2.3,1.3,Estadio Wanda Metropolitano,Juan Martínez
4,2018-09-15,Sat,Real Sociedad,1–2,Barcelona,1.4,1.4,Estadio Municipal de Anoeta,Carlos del Cerro
4,2018-09-15,Sat,Valencia,0–0,Betis,1.0,1.0,Estadio de Mestalla,Alejandro Hernández
4,2018-09-15,Sat,Athletic Club,1–1,Real Madrid,1.4,1.8,Estadio San Mamés,José González
4,2018-09-16,Sun,Leganés,0–1,Villarreal,1.4,0.5,Estadio Municipal de Butarque,Pablo González
4,2018-09-16,Sun,Espanyol,1–0,Levante,1.6,0.8,RCDE Stadium,Alberto Undiano
4,2018-09-16,Sun,Valladolid,0–1,Alavés,1.1,0.8,Estadio Municipal José Zorrilla,José Luis Munuera
4,2018-09-16,Sun,Sevilla,0–2,Getafe,1.2,1.9,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos
4,2018-09-17,Mon,Girona,3–2,Celta Vigo,1.7,1.0,Estadi Municipal de Montilivi,Hsu Jason
5,2018-09-21,Fri,Huesca,0–1,Real Sociedad,0.6,0.2,Estadio El Alcoraz,Ignacio Iglesias
5,2018-09-22,Sat,Rayo Vallecano,1–5,Alavés,1.5,1.3,Estadio del Rayo Vallecano,Adrián Cordero
5,2018-09-22,Sat,Eibar,1–0,Leganés,1.3,0.3,Estadio Municipal de Ipurúa,Mario Melero
5,2018-09-22,Sat,Celta Vigo,3–3,Valladolid,1.9,2.1,Estadio de Balaídos,Eduardo Prieto
5,2018-09-22,Sat,Getafe,0–2,Atlético Madrid,0.6,1.1,Coliseum Alfonso Pérez,José Sánchez
5,2018-09-22,Sat,Real Madrid,1–0,Espanyol,1.0,0.4,Estadio Santiago Bernabéu,Antonio Matéu Lahoz
5,2018-09-23,Sun,Levante,2–6,Sevilla,2.3,3.2,Estadio Ciudad de Valencia,Guillermo Cuadra
5,2018-09-23,Sun,Villarreal,0–0,Valencia,0.7,0.4,Estadio de la Cerámica,Santiago Jaime
5,2018-09-23,Sun,Betis,2–2,Athletic Club,1.1,0.6,Estadio Benito Villamarín,Daniel Ask
5,2018-09-23,Sun,Barcelona,2–2,Girona,1.4,1.5,Camp Nou,Jesús Gil
6,2018-09-25,Tue,Espanyol,1–0,Eibar,0.9,0.3,RCDE Stadium,José Luis Munuera
6,2018-09-25,Tue,Real Sociedad,2–2,Rayo Vallecano,1.6,2.1,Estadio Municipal de Anoeta,Juan Martínez
6,2018-09-25,Tue,Atlético Madrid,3–0,Huesca,0.9,0.9,Estadio Wanda Metropolitano,Pablo González
6,2018-09-26,Wed,Leganés,2–1,Barcelona,1.1,0.4,Estadio Municipal de Butarque,Alberto Undiano
6,2018-09-26,Wed,Athletic Club,0–3,Villarreal,0.8,2.5,Estadio San Mamés,Carlos del Cerro
6,2018-09-26,Wed,Sevilla,3–0,Real Madrid,2.4,1.5,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
6,2018-09-26,Wed,Valencia,1–1,Celta Vigo,1.1,0.4,Estadio de Mestalla,Ricardo de Burgos
6,2018-09-27,Thu,Alavés,1–1,Getafe,1.7,1.1,Estadio de Mendizorroza,Eduardo Prieto
6,2018-09-27,Thu,Valladolid,2–1,Levante,1.0,0.8,Estadio Municipal José Zorrilla,David Medié
6,2018-09-27,Thu,Girona,0–1,Betis,0.8,1.6,Estadi Municipal de Montilivi,José González
7,2018-09-28,Fri,Rayo Vallecano,2–2,Espanyol,1.3,1.5,Estadio del Rayo Vallecano,Hsu Jason
7,2018-09-29,Sat,Real Sociedad,0–1,Valencia,1.3,0.9,Estadio Municipal de Anoeta,Jesús Gil
7,2018-09-29,Sat,Barcelona,1–1,Athletic Club,3.2,0.9,Camp Nou,Santiago Jaime
7,2018-09-29,Sat,Eibar,1–3,Sevilla,0.8,2.0,Estadio Municipal de Ipurúa,Daniel Ask
7,2018-09-29,Sat,Real Madrid,0–0,Atlético Madrid,1.2,0.8,Estadio Santiago Bernabéu,Juan Martínez
7,2018-09-30,Sun,Huesca,1–1,Girona,1.5,1.7,Estadio El Alcoraz,Adrián Cordero
7,2018-09-30,Sun,Villarreal,0–1,Valladolid,2.8,0.8,Estadio de la Cerámica,Ignacio Iglesias
7,2018-09-30,Sun,Levante,2–1,Alavés,1.6,0.9,Estadio Ciudad de Valencia,Mario Melero
7,2018-09-30,Sun,Betis,1–0,Leganés,1.7,0.5,Estadio Benito Villamarín,José Sánchez
7,2018-10-01,Mon,Celta Vigo,1–1,Getafe,0.5,1.2,Estadio de Balaídos,Guillermo Cuadra
8,2018-10-05,Fri,Athletic Club,1–3,Real Sociedad,1.4,2.2,San Mamés,Alejandro Hernández
8,2018-10-06,Sat,Girona,2–3,Eibar,1.2,1.7,Estadi Municipal de Montilivi,Eduardo Prieto
8,2018-10-06,Sat,Getafe,0–1,Levante,1.1,1.0,Coliseum Alfonso Pérez,José Luis Munuera
8,2018-10-06,Sat,Alavés,1–0,Real Madrid,1.1,0.8,Estadio de Mendizorroza,Santiago Jaime
8,2018-10-06,Sat,Leganés,1–0,Rayo Vallecano,0.9,0.4,Estadio Municipal de Butarque,David Medié
8,2018-10-07,Sun,Valladolid,1–0,Huesca,0.8,0.6,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz
8,2018-10-07,Sun,Atlético Madrid,1–0,Betis,0.6,0.3,Estadio Wanda Metropolitano,Alberto Undiano
8,2018-10-07,Sun,Sevilla,2–1,Celta Vigo,1.8,0.7,Estadio Ramón Sánchez Pizjuán,Pablo González
8,2018-10-07,Sun,Espanyol,3–1,Villarreal,2.4,1.5,RCDE Stadium,Ricardo de Burgos
8,2018-10-07,Sun,Valencia,1–1,Barcelona,1.5,0.4,Estadio de Mestalla,José González
9,2018-10-19,Fri,Celta Vigo,0–1,Alavés,0.9,0.9,Estadio de Balaídos,Carlos del Cerro
9,2018-10-20,Sat,Real Madrid,1–2,Levante,2.9,2.0,Estadio Santiago Bernabéu,Guillermo Cuadra
9,2018-10-20,Sat,Valencia,1–1,Leganés,1.3,1.0,Estadio de Mestalla,Ignacio Iglesias
9,2018-10-20,Sat,Villarreal,1–1,Atlético Madrid,1.9,1.4,Estadio de la Cerámica,Daniel Ask
9,2018-10-20,Sat,Barcelona,4–2,Sevilla,2.5,2.2,Camp Nou,Juan Martínez
9,2018-10-21,Sun,Rayo Vallecano,1–2,Getafe,0.4,0.5,Estadio del Rayo Vallecano,Mario Melero
9,2018-10-21,Sun,Eibar,1–1,Athletic Club,1.9,0.7,Estadio Municipal de Ipurúa,Jesús Gil
9,2018-10-21,Sun,Huesca,0–2,Espanyol,0.4,1.7,Estadio El Alcoraz,Eduardo Prieto
9,2018-10-21,Sun,Betis,0–1,Valladolid,0.9,0.4,Estadio Benito Villamarín,Hsu Jason
9,2018-10-22,Mon,Real Sociedad,0–0,Girona,0.6,0.9,Estadio Municipal de Anoeta,Pablo González
3,2018-10-24,Wed,Rayo Vallecano,1–1,Athletic Club,1.3,1.3,Estadio del Rayo Vallecano,Guillermo Cuadra
10,2018-10-26,Fri,Valladolid,1–1,Espanyol,1.1,0.5,Estadio Municipal José Zorrilla,Adrián Cordero
10,2018-10-27,Sat,Girona,2–1,Rayo Vallecano,2.4,1.6,Estadi Municipal de Montilivi,José Luis Munuera
10,2018-10-27,Sat,Athletic Club,0–0,Valencia,0.7,0.5,San Mamés,Alberto Undiano
10,2018-10-27,Sat,Levante,2–0,Leganés,1.3,1.4,Estadio Ciudad de Valencia,Ricardo de Burgos
10,2018-10-27,Sat,Celta Vigo,4–0,Eibar,0.8,1.7,Estadio de Balaídos,José González
10,2018-10-27,Sat,Atlético Madrid,2–0,Real Sociedad,1.4,0.3,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
10,2018-10-28,Sun,Getafe,2–0,Betis,2.2,0.5,Coliseum Alfonso Pérez,Santiago Jaime
10,2018-10-28,Sun,Barcelona,5–1,Real Madrid,3.0,2.1,Camp Nou,José Sánchez
10,2018-10-28,Sun,Alavés,2–1,Villarreal,1.9,1.3,Estadio de Mendizorroza,Guillermo Cuadra
10,2018-10-28,Sun,Sevilla,2–1,Huesca,1.7,0.8,Estadio Ramón Sánchez Pizjuán,David Medié
11,2018-11-03,Sat,Leganés,1–1,Atlético Madrid,1.3,0.4,Estadio Municipal de Butarque,Mario Melero
11,2018-11-03,Sat,Real Madrid,2–0,Valladolid,2.2,0.9,Estadio Santiago Bernabéu,Jesús Gil
11,2018-11-03,Sat,Valencia,0–1,Girona,2.3,0.3,Estadio de Mestalla,Hsu Jason
11,2018-11-03,Sat,Rayo Vallecano,2–3,Barcelona,1.6,1.9,Estadio del Rayo Vallecano,Alejandro Hernández
11,2018-11-04,Sun,Eibar,2–1,Alavés,1.5,0.6,Estadio Municipal de Ipurúa,Ignacio Iglesias
11,2018-11-04,Sun,Villarreal,1–1,Levante,1.2,0.5,Estadio de la Cerámica,Carlos del Cerro
11,2018-11-04,Sun,Huesca,1–1,Getafe,1.3,0.5,Estadio El Alcoraz,Juan Martínez
11,2018-11-04,Sun,Real Sociedad,0–0,Sevilla,0.6,0.4,Estadio Municipal de Anoeta,Eduardo Prieto
11,2018-11-04,Sun,Betis,3–3,Celta Vigo,1.7,2.1,Estadio Benito Villamarín,Daniel Ask
11,2018-11-05,Mon,Espanyol,1–0,Athletic Club,1.5,0.5,RCDE Stadium,Pablo González
12,2018-11-09,Fri,Levante,1–3,Real Sociedad,1.3,1.2,Estadio Ciudad de Valencia,David Medié
12,2018-11-10,Sat,Valladolid,0–0,Eibar,0.5,1.1,Estadio Municipal José Zorrilla,Guillermo Cuadra
12,2018-11-10,Sat,Getafe,0–1,Valencia,1.5,2.2,Coliseum Alfonso Pérez,Ricardo de Burgos
12,2018-11-10,Sat,Atlético Madrid,3–2,Athletic Club,1.1,1.9,Estadio Wanda Metropolitano,José Sánchez
12,2018-11-10,Sat,Girona,0–0,Leganés,0.4,1.1,Estadi Municipal de Montilivi,Adrián Cordero
12,2018-11-11,Sun,Alavés,2–1,Huesca,1.3,0.9,Estadio de Mendizorroza,José Luis Munuera
12,2018-11-11,Sun,Barcelona,3–4,Betis,3.8,2.3,Camp Nou,Antonio Matéu Lahoz
12,2018-11-11,Sun,Sevilla,2–1,Espanyol,4.1,0.8,Estadio Ramón Sánchez Pizjuán,Santiago Jaime
12,2018-11-11,Sun,Rayo Vallecano,2–2,Villarreal,2.3,0.9,Estadio del Rayo Vallecano,José González
12,2018-11-11,Sun,Celta Vigo,2–4,Real Madrid,0.9,2.5,Estadio de Balaídos,Alberto Undiano
13,2018-11-23,Fri,Leganés,1–0,Alavés,0.9,0.4,Estadio Municipal de Butarque,Hsu Jason
13,2018-11-24,Sat,Eibar,3–0,Real Madrid,2.8,1.1,Estadio Municipal de Ipurúa,Juan Martínez
13,2018-11-24,Sat,Valencia,3–0,Rayo Vallecano,1.9,0.8,Estadio de Mestalla,Pablo González
13,2018-11-24,Sat,Huesca,2–2,Levante,2.8,1.0,Estadio El Alcoraz,Daniel Ask
13,2018-11-24,Sat,Atlético Madrid,1–1,Barcelona,0.2,0.6,Estadio Wanda Metropolitano,Jesús Gil
13,2018-11-25,Sun,Athletic Club,1–1,Getafe,0.6,2.0,San Mamés,Ignacio Iglesias
13,2018-11-25,Sun,Sevilla,1–0,Valladolid,1.3,0.7,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
13,2018-11-25,Sun,Espanyol,1–3,Girona,2.4,2.2,RCDE Stadium,Alejandro Hernández
13,2018-11-25,Sun,Villarreal,2–1,Betis,0.9,0.9,Estadio de la Cerámica,Eduardo Prieto
13,2018-11-26,Mon,Real Sociedad,2–1,Celta Vigo,1.9,0.5,Estadio Municipal de Anoeta,Mario Melero
14,2018-11-30,Fri,Rayo Vallecano,1–0,Eibar,1.2,1.0,Estadio del Rayo Vallecano,Alberto Undiano
14,2018-12-01,Sat,Celta Vigo,2–0,Huesca,2.3,1.2,Estadio de Balaídos,Adrián Cordero
14,2018-12-01,Sat,Valladolid,2–4,Leganés,1.7,1.7,Estadio Municipal José Zorrilla,David Medié
14,2018-12-01,Sat,Getafe,3–0,Espanyol,1.4,1.1,Coliseum Alfonso Pérez,Antonio Matéu Lahoz
14,2018-12-01,Sat,Real Madrid,2–0,Valencia,0.8,0.8,Estadio Santiago Bernabéu,José González
14,2018-12-02,Sun,Betis,1–0,Real Sociedad,1.3,1.3,Estadio Benito Villamarín,Guillermo Cuadra
14,2018-12-02,Sun,Girona,1–1,Atlético Madrid,1.5,1.6,Estadi Municipal de Montilivi,Ricardo de Burgos
14,2018-12-02,Sun,Barcelona,2–0,Villarreal,1.0,1.1,Camp Nou,José Luis Munuera
14,2018-12-02,Sun,Alavés,1–1,Sevilla,1.0,1.7,Estadio de Mendizorroza,José Sánchez
14,2018-12-03,Mon,Levante,3–0,Athletic Club,1.9,1.1,Estadio Ciudad de Valencia,Santiago Jaime
15,2018-12-07,Fri,Leganés,1–1,Getafe,1.7,0.9,Estadio Municipal de Butarque,Pablo González
15,2018-12-08,Sat,Atlético Madrid,3–0,Alavés,2.7,1.4,Estadio Wanda Metropolitano,Alejandro Hernández
15,2018-12-08,Sat,Valencia,1–1,Sevilla,1.2,1.7,Estadio de Mestalla,Daniel Ask
15,2018-12-08,Sat,Villarreal,2–3,Celta Vigo,1.6,2.0,Estadio de la Cerámica,Jesús Gil
15,2018-12-08,Sat,Espanyol,0–4,Barcelona,1.1,2.9,RCDE Stadium,Carlos del Cerro
15,2018-12-09,Sun,Eibar,4–4,Levante,4.2,2.2,Estadio Municipal de Ipurúa,Hsu Jason
15,2018-12-09,Sun,Huesca,0–1,Real Madrid,1.2,0.4,Estadio El Alcoraz,Mario Melero
15,2018-12-09,Sun,Real Sociedad,1–2,Valladolid,2.4,1.0,Estadio Municipal de Anoeta,Ignacio Iglesias
15,2018-12-09,Sun,Betis,2–0,Rayo Vallecano,1.7,1.2,Estadio Benito Villamarín,Juan Martínez
15,2018-12-10,Mon,Athletic Club,1–0,Girona,2.1,0.2,San Mamés,Eduardo Prieto
16,2018-12-14,Fri,Celta Vigo,0–0,Leganés,1.2,0.7,Estadio de Balaídos,José Luis Munuera
16,2018-12-15,Sat,Getafe,1–0,Real Sociedad,0.4,0.8,Coliseum Alfonso Pérez,Santiago Jaime
16,2018-12-15,Sat,Valladolid,2–3,Atlético Madrid,0.8,1.9,Estadio Municipal José Zorrilla,Alberto Undiano
16,2018-12-15,Sat,Real Madrid,1–0,Rayo Vallecano,1.2,0.7,Estadio Santiago Bernabéu,Ricardo de Burgos
16,2018-12-15,Sat,Eibar,1–1,Valencia,1.6,2.1,Estadio Municipal de Ipurúa,Adrián Cordero
16,2018-12-16,Sun,Sevilla,2–0,Girona,2.1,1.0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra
16,2018-12-16,Sun,Espanyol,1–3,Betis,0.6,1.7,RCDE Stadium,José Sánchez
16,2018-12-16,Sun,Huesca,2–2,Villarreal,4.2,1.7,Estadio El Alcoraz,David Medié
16,2018-12-16,Sun,Levante,0–5,Barcelona,1.0,3.7,Estadio Ciudad de Valencia,José González
16,2018-12-17,Mon,Alavés,0–0,Athletic Club,0.5,0.3,Estadio de Mendizorroza,Antonio Matéu Lahoz
17,2018-12-21,Fri,Girona,1–1,Getafe,1.4,0.6,Estadi Municipal de Montilivi,Hsu Jason
17,2018-12-21,Fri,Real Sociedad,0–1,Alavés,1.1,0.8,Estadio Municipal de Anoeta,Daniel Ask
17,2018-12-22,Sat,Betis,1–1,Eibar,1.5,2.3,Estadio Benito Villamarín,Carlos del Cerro
17,2018-12-22,Sat,Atlético Madrid,1–0,Espanyol,1.0,0.8,Estadio Wanda Metropolitano,Mario Melero
17,2018-12-22,Sat,Barcelona,2–0,Celta Vigo,1.4,0.6,Camp Nou,Eduardo Prieto
17,2018-12-22,Sat,Athletic Club,1–1,Valladolid,1.1,0.6,San Mamés,José Sánchez
17,2018-12-23,Sun,Valencia,2–1,Huesca,3.2,2.3,Estadio de Mestalla,Jesús Gil
17,2018-12-23,Sun,Leganés,1–1,Sevilla,1.3,0.7,Estadio Municipal de Butarque,Alejandro Hernández
17,2018-12-23,Sun,Rayo Vallecano,2–1,Levante,2.5,1.0,Estadio del Rayo Vallecano,Ignacio Iglesias
