week,date,home,score,away,xG,xG_1,venue,referee,home_goals,away_goals,season_start,result,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,home_rolling_avg_goals,away_rolling_avg_goals,home_rolling_avg_xG,away_rolling_avg_xG
2,2018-08-24,Getafe,2–0,Eibar,1.4,0.6,Coliseum Alfonso Pérez,David Medié,2.0,0.0,2018,Home win,True,False,False,False,False,False,False,0.0,1.0,0.2,1.3
2,2018-08-24,Leganés,2–2,Real Sociedad,1.7,1.6,Estadio Municipal de Butarque,José Luis Munuera,2.0,2.0,2018,Draw,True,False,False,False,False,False,False,1.0,2.0,1.0,0.7
2,2018-08-25,Alavés,0–0,Betis,0.6,0.9,Estadio de Mendizorroza,Pablo González,0.0,0.0,2018,Draw,False,False,True,False,False,False,False,0.0,0.0,0.3,0.9
2,2018-08-25,Atlético Madrid,1–0,Rayo Vallecano,0.9,1.5,Estadio Wanda Metropolitano,José González,1.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.0,1.0,0.9,2.1
2,2018-08-25,Valladolid,0–1,Barcelona,0.4,1.0,Estadio Municipal José Zorrilla,Ricardo de Burgos,0.0,1.0,2018,Away win,False,False,True,False,False,False,False,0.0,3.0,0.0,3.2
2,2018-08-26,Girona,1–4,Real Madrid,0.4,3.9,Estadi Municipal de Montilivi,Juan Martínez,1.0,4.0,2018,Away win,False,False,False,True,False,False,False,0.0,2.0,0.7,1.0
2,2018-08-26,Sevilla,0–0,Villarreal,1.9,1.0,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,0.0,0.0,2018,Draw,False,False,False,True,False,False,False,4.0,1.0,2.8,1.6
2,2018-08-26,Espanyol,2–0,Valencia,1.3,1.9,RCDE Stadium,Carlos del Cerro,2.0,0.0,2018,Home win,False,False,False,True,False,False,False,1.0,1.0,0.6,1.1
2,2018-08-27,Levante,1–2,Celta Vigo,1.9,2.5,Estadio Ciudad de Valencia,Alejandro Hernández,1.0,2.0,2018,Away win,False,True,False,False,False,False,False,3.0,1.0,2.5,0.6
2,2018-08-27,Athletic Club,2–2,Huesca,0.6,0.3,San Mamés,Hsu Jason,2.0,2.0,2018,Draw,False,True,False,False,False,False,False,2.0,2.0,2.2,1.7
3,2018-08-31,Getafe,0–0,Valladolid,1.2,0.9,Coliseum Alfonso Pérez,Adrián Cordero,0.0,0.0,2018,Draw,True,False,False,False,False,False,False,1.0,0.0,0.7999999999999999,0.2
3,2018-08-31,Villarreal,0–1,Girona,1.1,1.0,Estadio de la Cerámica,Eduardo Prieto,0.0,1.0,2018,Away win,True,False,False,False,False,False,False,0.5,0.5,1.3,0.55
3,2018-08-31,Eibar,2–1,Real Sociedad,1.0,1.3,Estadio Municipal de Ipurúa,José Sánchez,2.0,1.0,2018,Home win,True,False,False,False,False,False,False,0.5,2.0,0.95,1.15
3,2018-09-01,Celta Vigo,2–0,Atlético Madrid,0.5,0.4,Estadio de Balaídos,Antonio Matéu Lahoz,2.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.5,1.0,1.55,0.9
3,2018-09-01,Real Madrid,4–1,Leganés,2.5,1.1,Estadio Santiago Bernabéu,Santiago Jaime,4.0,1.0,2018,Home win,False,False,True,False,False,False,False,3.0,1.5,2.45,1.35
3,2018-09-02,Alavés,2–1,Espanyol,1.4,1.2,Estadio de Mendizorroza,Ignacio Iglesias,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,0.0,1.5,0.44999999999999996,0.95
3,2018-09-02,Betis,1–0,Sevilla,0.9,0.6,Estadio Benito Villamarín,Jesús Gil,1.0,0.0,2018,Home win,False,False,False,True,False,False,False,0.0,2.0,0.9,2.3499999999999996
3,2018-09-02,Levante,2–2,Valencia,1.6,4.1,Estadio Ciudad de Valencia,Daniel Ask,2.0,2.0,2018,Draw,False,False,False,True,False,False,False,2.0,0.5,2.2,1.5
3,2018-09-02,Barcelona,8–2,Huesca,5.3,1.7,Camp Nou,Mario Melero,8.0,2.0,2018,Home win,False,False,False,True,False,False,False,2.0,2.0,2.1,1.0
4,2018-09-14,Huesca,0–1,Rayo Vallecano,1.7,1.2,Estadio El Alcoraz,David Medié,0.0,1.0,2018,Away win,True,False,False,False,False,False,False,2.0,0.5,1.2333333333333334,1.8
4,2018-09-15,Valencia,0–0,Betis,1.0,1.0,Estadio de Mestalla,Alejandro Hernández,0.0,0.0,2018,Draw,False,False,True,False,False,False,False,1.0,0.3333333333333333,2.3666666666666667,0.9
4,2018-09-15,Atlético Madrid,1–1,Eibar,2.3,1.3,Estadio Wanda Metropolitano,Juan Martínez,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,0.6666666666666666,1.0,0.7333333333333334,0.9666666666666667
4,2018-09-15,Real Sociedad,1–2,Barcelona,1.4,1.4,Estadio Municipal de Anoeta,Carlos del Cerro,1.0,2.0,2018,Away win,False,False,True,False,False,False,False,1.6666666666666667,4.0,1.2,3.1666666666666665
4,2018-09-15,Athletic Club,1–1,Real Madrid,1.4,1.8,Estadio San Mamés,José González,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,2.0,3.3333333333333335,1.4000000000000001,2.466666666666667
4,2018-09-16,Sevilla,0–2,Getafe,1.2,1.9,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos,0.0,2.0,2018,Away win,False,False,False,True,False,False,False,1.3333333333333333,0.6666666666666666,1.7666666666666666,0.9333333333333332
